Variable,Label,Data_Type,Length,Controlled_Terms,Core,Notes
STUDYID,Study Identifier,text,20,NA,Req,NA
USUBJID,Unique Subject Identifier,text,40,NA,Req,NA
SUBJID,Subject Identifier for the Study,text,20,NA,Req,NA
AGE,Age,integer,8,NA,NA,Years
SEX,Sex,text,1,(SEX),NA,NA
WTBL,Baseline Weight (kg),float,8,NA,NA,NA
BMIBL,Baseline BMI (kg/m^2),float,8,NA,NA,NA
DOSE,Dose (mg),float,8,NA,NA,Administered dose
PARAMCD,Parameter Code,text,8,NA,Req,"TUMSIZE, BOR, NADIR"
PARAM,Parameter,text,200,NA,Req,Parameter description
AVISITN,Analysis Visit (N),integer,8,NA,NA,"0, 1, 2, 3, ..."
AVISIT,Analysis Visit,text,40,NA,NA,"BASELINE, WEEK 6, ..."
ADT,Analysis Date,integer,8,NA,NA,SAS date
ADY,Analysis Relative Day,integer,8,NA,NA,Relative to TRTSDT
AVAL,Analysis Value,float,8,NA,Cond,Tumor size (mm) or response
AVALU,Analysis Value Unit,text,20,(UNIT),NA,mm (for TUMSIZE)
AVALC,Analysis Value (C),text,8,NA,NA,"CR, PR, SD, PD"
AVALN,Analysis Value (N),integer,8,NA,NA,"4=CR, 3=PR, 2=SD, 1=PD"
BASE,Baseline Value,float,8,NA,NA,Baseline tumor size (mm)
CHG,Change from Baseline,float,8,NA,NA,AVAL - BASE
PCHG,Percent Change from Baseline,float,8,NA,NA,((AVAL-BASE)/BASE)*100
BOR,Best Overall Response,text,8,(OVRLRESP),NA,"CR, PR, SD, PD"
BORN,Best Overall Response (N),integer,8,NA,NA,"4=CR, 3=PR, 2=SD, 1=PD"
NADIR,Nadir Tumor Size (mm),float,8,NA,NA,Minimum post-baseline
NADPCHG,Nadir Percent Change,float,8,NA,NA,% change at nadir
NADVST,Nadir Visit,text,40,NA,NA,Visit of minimum value
ABLFL,Baseline Record Flag,text,1,(NY),NA,Y for baseline (AVISITN=0)
ANL01FL,Analysis Flag 01,text,1,(NY),NA,Y for post-baseline
ANL02FL,Analysis Flag 02,text,1,(NY),NA,Y for responders (CR/PR)
AUCSS,Steady-State AUC (ugÂ·h/mL),float,8,NA,NA,Primary exposure metric
AUCSLOG,Log-Transformed AUC,float,8,NA,NA,ln(AUCSS)
AUCSSCAT,AUC Category (Tertiles),text,20,NA,NA,"Low, Medium, High"
ASEQ,Analysis Sequence Number,integer,8,NA,NA,Unique within USUBJID
